Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,58.48,58.73,57.76,57.97,252800,57.97
2014-12-01,58.52,59.25,58.06,58.20,408900,58.20
2014-11-28,58.04,58.79,57.69,58.52,166400,58.52
2014-11-26,58.54,58.94,57.94,58.19,350800,58.19
2014-11-25,58.37,58.58,57.19,58.45,492900,58.45
2014-11-24,58.22,58.95,57.61,58.00,557200,58.00
2014-11-21,57.79,58.65,57.54,58.21,536500,58.21
2014-11-20,57.50,57.72,56.60,57.09,527300,57.09
2014-11-19,58.45,59.40,57.46,57.77,279100,57.77
2014-11-18,58.67,59.30,58.25,58.32,396100,58.32
2014-11-17,59.81,60.22,58.14,58.45,419200,58.45
2014-11-14,62.20,62.20,59.91,59.99,330900,59.99
2014-11-13,62.53,62.72,61.81,62.10,225200,62.10
2014-11-12,61.59,63.00,60.86,62.33,409700,62.33
2014-11-11,64.17,64.23,61.01,61.65,737900,61.65
2014-11-10,63.36,63.88,62.87,63.85,350800,63.85
2014-11-07,62.46,63.73,62.40,63.11,470600,63.11
2014-11-06,63.48,63.87,62.53,62.77,429900,62.77
2014-11-05,63.87,65.00,63.47,63.71,388000,63.71
2014-11-04,63.23,64.25,62.46,63.60,289600,63.60
2014-11-03,63.22,64.20,62.89,63.24,399600,63.24
2014-10-31,64.39,64.39,63.00,63.25,492400,63.25
2014-10-30,62.10,63.33,61.53,63.06,297300,63.06
2014-10-29,62.44,63.14,61.80,62.55,240500,62.55
2014-10-28,60.99,62.18,60.32,62.12,357100,62.12
2014-10-27,60.11,61.25,60.11,61.06,216300,61.06
2014-10-24,60.76,60.94,59.87,60.59,200100,60.59
2014-10-23,60.31,61.51,60.31,60.64,303700,60.64
2014-10-22,60.57,60.60,59.56,59.64,274700,59.64
2014-10-21,59.82,61.20,59.49,60.61,322900,60.61
2014-10-20,59.03,60.02,58.54,59.65,353000,59.65
2014-10-17,59.74,59.74,58.46,59.10,556300,59.10
2014-10-16,57.71,59.71,57.55,58.93,525500,58.93
2014-10-15,57.63,60.15,57.00,58.35,520300,58.35
2014-10-14,56.53,58.84,56.33,58.03,555700,58.03
2014-10-13,56.93,57.39,55.91,56.16,303500,56.16
2014-10-10,56.68,57.70,56.08,56.75,470400,56.75
2014-10-09,57.89,58.07,56.83,56.99,606400,56.99
2014-10-08,56.24,57.84,55.75,57.78,681200,57.78
2014-10-07,55.92,57.13,55.92,56.22,759000,56.22
2014-10-06,56.84,56.96,55.71,55.94,259300,55.94
2014-10-03,56.89,57.53,56.36,56.72,541500,56.72
2014-10-02,55.63,56.87,55.10,56.33,1132900,56.33
2014-10-01,52.33,56.62,52.30,55.45,1891800,55.45
2014-09-30,52.94,52.94,52.01,52.23,443100,52.23
2014-09-29,53.03,53.50,52.49,52.84,352600,52.84
2014-09-26,54.06,54.53,53.30,53.48,302900,53.48
2014-09-25,55.06,55.65,53.02,53.81,712100,53.81
2014-09-24,54.52,55.16,53.91,54.96,225400,54.96
