Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,35.47,35.83,33.40,33.94,1001200,33.94
2014-12-01,36.20,36.20,35.40,35.47,691600,35.47
2014-11-28,36.73,37.40,35.66,36.10,500300,36.10
2014-11-26,37.87,38.50,36.00,36.09,998200,36.09
2014-11-25,38.14,40.33,37.82,38.00,3520000,38.00
2014-11-24,36.27,38.55,36.06,38.36,1070000,38.36
2014-11-21,36.60,37.35,35.84,36.31,830900,36.31
2014-11-20,35.51,36.91,35.22,36.45,798200,36.45
2014-11-19,36.74,36.74,34.50,35.20,1106900,35.20
2014-11-18,35.51,36.55,35.34,35.91,1012200,35.91
2014-11-17,37.05,37.08,35.07,35.62,1771900,35.62
2014-11-14,37.64,38.18,36.50,37.31,1590700,37.31
2014-11-13,37.84,39.69,37.43,37.80,1517100,37.80
2014-11-12,36.90,38.46,36.41,37.76,1562800,37.76
2014-11-11,38.34,38.96,36.90,37.07,1686600,37.07
2014-11-10,41.31,42.49,38.60,38.72,3279400,38.72
2014-11-07,39.51,48.25,39.51,42.81,11800000,42.81
2014-11-06,33.26,34.31,32.14,32.67,1769600,32.67
2014-11-05,35.34,36.50,32.65,33.26,2290100,33.26
2014-11-04,33.55,36.18,32.13,35.83,1816600,35.83
2014-11-03,32.91,35.07,32.90,33.25,2065100,33.25
2014-10-31,37.13,38.50,34.79,34.92,2222400,32.88
2014-10-30,36.45,38.61,36.08,36.74,2083000,34.60
2014-10-29,37.00,38.37,35.77,36.99,1668100,34.83
2014-10-28,38.51,38.96,37.14,37.42,1262800,35.24
2014-10-27,38.43,39.48,37.62,39.00,1668000,36.72
2014-10-24,35.95,40.78,35.95,38.97,3184100,36.69
2014-10-23,35.00,36.75,34.33,35.95,1679200,33.85
2014-10-22,35.82,36.00,34.27,34.42,1185700,32.41
2014-10-21,33.78,35.62,32.94,34.79,1300100,32.76
2014-10-20,28.41,37.13,28.41,34.96,4359000,32.92
2014-10-17,30.16,30.77,27.73,28.41,959200,26.75
2014-10-16,28.97,30.02,28.57,30.00,1072200,27.94
2014-10-15,29.00,29.69,27.52,29.56,1685100,27.53
2014-10-14,25.75,28.81,25.72,28.49,1520800,26.53
2014-10-13,24.85,25.77,24.62,25.72,1072600,23.95
2014-10-10,26.48,26.99,24.63,24.78,1419800,23.08
2014-10-09,28.38,28.49,26.14,26.36,1389100,24.55
2014-10-08,30.48,31.08,25.05,28.85,4434200,26.87
2014-10-07,28.97,31.00,28.63,30.30,1584300,28.22
2014-10-06,28.42,29.73,28.35,29.12,1056200,27.12
2014-10-03,27.10,28.83,26.98,28.22,1634000,26.28
2014-10-02,25.14,27.17,25.14,27.06,1842000,25.20
2014-10-01,25.22,25.43,24.98,25.18,901400,23.45
2014-09-30,25.95,25.95,24.92,25.23,2007100,23.50
2014-09-29,24.72,26.10,24.41,25.98,2444000,24.20
2014-09-26,25.66,25.79,24.16,24.85,2420200,23.14
2014-09-25,26.41,26.50,24.10,25.66,2925000,23.90
2014-09-24,27.79,28.08,26.10,26.41,1886400,24.60
2014-09-23,27.24,27.98,27.11,27.68,1060400,25.78
2014-09-22,26.75,28.28,26.75,27.40,2114700,25.52
2014-09-19,28.50,28.60,26.78,27.68,2820600,25.78
2014-09-18,29.75,29.97,27.91,28.00,2873200,26.08
